Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXTFJWPpeByP0,Interest,USDTERC,0.09376810,approved / USDT Interest Earned,$0.00,2020-07-30 01:00:03
NXTKiKb9uS2Ua,Interest,USDTERC,0.09374833,approved / USDT Interest Earned,$0.00,2020-07-29 01:00:02
NXTN2nWsAyXuU,Interest,USDTERC,0.09372856,approved / USDT Interest Earned,$0.00,2020-07-28 01:00:02
NXT9WIRlg3k1l,Interest,USDTERC,0.09370880,approved / USDT Interest Earned,$0.00,2020-07-27 01:00:03
NXTtR7MKZqMtO,Interest,USDTERC,0.09368905,approved / USDT Interest Earned,$0.00,2020-07-26 01:00:03
NXTMkINCps9Hv,Interest,USDTERC,0.09366929,approved / USDT Interest Earned,$0.00,2020-07-25 01:00:02
NXTRDZFqiwHXv,Interest,USDTERC,0.09364954,approved / USDT Interest Earned,$0.00,2020-07-24 01:00:03
NXTEUJ1sdD7K8,Interest,USDTERC,0.09362980,approved / USDT Interest Earned,$0.00,2020-07-23 01:00:02
NXTgmJHtxm1od,Interest,USDTERC,0.09361006,approved / USDT Interest Earned,$0.00,2020-07-22 01:00:02
NXT0bIQbpVxR1,Interest,USDTERC,0.09359032,approved / USDT Interest Earned,$0.00,2020-07-21 01:00:02
NXTQ3iJmtxUSW,Interest,USDTERC,0.09357059,approved / USDT Interest Earned,$0.00,2020-07-20 01:00:03
NXTK0XpXVfaX0,Interest,USDTERC,0.09355087,approved / USDT Interest Earned,$0.00,2020-07-19 01:00:02
NXT2oy1bXNstw,Interest,USDTERC,0.09353114,approved / USDT Interest Earned,$0.00,2020-07-18 01:00:02
NXTlpKNM1ZtRK,Interest,USDTERC,0.09351142,approved / USDT Interest Earned,$0.00,2020-07-17 01:00:03
NXTERiyJe1vCx,Interest,USDTERC,0.09349171,approved / USDT Interest Earned,$0.00,2020-07-16 01:00:02
NXTsbTwCj2UWN,Interest,USDTERC,0.09347200,approved / USDT Interest Earned,$0.00,2020-07-15 01:00:02
NXTIrnvrYbVEM,Interest,USDTERC,0.09345229,approved / USDT Interest Earned,$0.00,2020-07-14 01:00:02
NXTLlAKT6MwaJ,Interest,USDTERC,0.09343259,approved / USDT Interest Earned,$0.00,2020-07-13 01:00:02
NXTBWB8Esfpz5,Interest,USDTERC,0.09341289,approved / USDT Interest Earned,$0.00,2020-07-12 01:00:03
NXTP7fIbQ0f9F,Interest,USDTERC,0.09339320,approved / USDT Interest Earned,$0.00,2020-07-11 01:00:03
NXTW0eUgaRESh,Interest,USDTERC,0.09337351,approved / USDT Interest Earned,$0.00,2020-07-10 01:00:03
NXT6fmf25HpD6,Interest,USDTERC,0.09335382,approved / USDT Interest Earned,$0.00,2020-07-09 01:00:02
NXThin8kV5qIP,Interest,USDTERC,0.08818356,approved / USDT Interest Earned,$0.00,2020-07-08 01:00:02
NXTHqpY10mVxx,Deposit,USDTERC,24.43000000,approved / 0x5b83cec8b4e59011ecd627ff0a23231379998b2ae7e4a63b0c4214cea63027c5,$0.00,2020-07-07 13:44:23
NXTpwgBHWwYlT,Interest,USDTERC,0.08816497,approved / USDT Interest Earned,$0.00,2020-07-07 01:00:03
NXTnhbpLuVY6n,Interest,USDTERC,0.08814638,approved / USDT Interest Earned,$0.00,2020-07-06 01:00:02
NXT4vvDh79OOt,Interest,USDTERC,0.08812780,approved / USDT Interest Earned,$0.00,2020-07-05 01:00:02
NXTt0ipudwonc,Interest,USDTERC,0.08810922,approved / USDT Interest Earned,$0.00,2020-07-04 01:00:02
NXTrbIZg6ARMJ,Interest,USDTERC,0.08809064,approved / USDT Interest Earned,$0.00,2020-07-03 01:00:02
NXTos3CreZEGj,Interest,USDTERC,0.08807207,approved / USDT Interest Earned,$0.00,2020-07-02 01:00:02
NXTAwxz4GOVmn,Interest,USDTERC,0.08805350,approved / USDT Interest Earned,$0.00,2020-07-01 01:00:02
NXTiesaMt3Gv6,Interest,USDTERC,0.08803494,approved / USDT Interest Earned,$0.00,2020-06-30 01:00:02
NXTZkXTlmVwvj,Interest,USDTERC,0.08801638,approved / USDT Interest Earned,$0.00,2020-06-29 01:00:03
NXTWiO0PcIPY9,Interest,USDTERC,0.08799782,approved / USDT Interest Earned,$0.00,2020-06-28 01:00:03
NXTSiXkd9gJKJ,Interest,USDTERC,0.08797927,approved / USDT Interest Earned,$0.00,2020-06-27 01:00:02
NXTfl2QzWuwwh,Interest,USDTERC,0.08796072,approved / USDT Interest Earned,$0.00,2020-06-26 01:00:03
NXTjADoaKWUei,Interest,USDTERC,0.08794218,approved / USDT Interest Earned,$0.00,2020-06-25 01:00:02
NXT8VzEJrddQj,Interest,USDTERC,0.08792363,approved / USDT Interest Earned,$0.00,2020-06-24 01:00:02
NXTFLOQrW8e4g,Interest,USDTERC,0.08790510,approved / USDT Interest Earned,$0.00,2020-06-23 01:00:03
NXTtm7TrEVsvl,TransferIn,USDTERC,416.86000000,approved / Transfer from Credit Line Wallet to Savings Wallet,$0.00,2020-06-22 10:54:54
NXTHSOfyqbG3a,TransferOut,USDTERC,-416.86000000,approved / Transfer from Savings Wallet to Credit Line Wallet,$0.00,2020-06-22 10:54:19
NXTSjrhfdORZ3,Deposit,USDTERC,416.86000000,approved / 0x5cf9868e0587a6796550529ccf13a7df6aa75653a9f1c8a9c0d868ad95f7f65d,$0.00,2020-06-21 17:58:27
